path,line_number,matched_phrase,context,classification,recommended_action
CURRENT_MAINLINE.md,27,gold benchmark,- no gold benchmark claim,safe_negation,Keep as-is (safe negation).
CURRENT_MAINLINE.md,28,human-audited,- no human-audited dataset claim,safe_negation,Keep as-is (safe negation).
CURRENT_MAINLINE.md,29,SOTA,- no SOTA claim,safe_negation,Keep as-is (safe negation).
CURRENT_MAINLINE.md,31,full shared-threshold CESE-OCN,- no full shared-threshold CESE-OCN validation claim,safe_negation,Keep as-is (safe negation).
CURRENT_MAINLINE.md,32,automatic peer review,- no automatic peer review claim,safe_negation,Keep as-is (safe negation).
CURRENT_MAINLINE.md,33,standalone detector,- no standalone detector claim,safe_negation,Keep as-is (safe negation).
CURRENT_MAINLINE.md,46,full shared-threshold CESE-OCN,"- **full shared-threshold CESE-OCN neural architecture** = future architecture, not current empirical claim",safe_negation,Keep as-is (safe negation).
docs/annotation_guidelines_simclaim_eval_v1.md,5,human-audited,"**Not for:** this guideline must not be used to claim that round1_seed is a benchmark, gold test, or human-audited set.",safe_negation,Keep as-is (safe negation).
docs/annotation_guidelines_simclaim_eval_v1.md,224,human-audited,"5. **`user_confirmed=true` does not imply `human_audited=true`.** Round1 labels are GPT-annotated + GPT-adjudicated + user-final-confirmed, not dual-human-audited gold.",safe_negation,Keep as-is (safe negation).
docs/archive/README.md,25,Full shared-threshold CESE-OCN,"- **Full shared-threshold CESE-OCN neural architecture.** The dual-branch ordinal calibration network with shared thresholds (`cese/models/`, `cese/losses/`, `cese/calibrator/`) is a future archite...",legacy_section,Keep in legacy section.
docs/current_mainline_v3_17.md,109,Standalone detector,"- ""Standalone detector."" — R4 standalone viability is false.",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,113,Full shared-threshold CESE-OCN,"- ""Full shared-threshold CESE-OCN neural architecture validation."" — The older CESE-OCN architecture is development history / future architecture, not the current empirical claim.",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,133,human-audited,| Validation status | External | Controlled silver diagnostic only; not gold; not human-audited |,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,149,full shared-threshold CESE-OCN,"- **Not full CESE-OCN validation.** The older full shared-threshold CESE-OCN neural architecture is development history / future architecture, not the current empirical claim.",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,163,full shared-threshold CESE-OCN,"3. **Positioning.** R4 is an offline, auditable, second-stage strong_action screening router (standalone_viable = false; second_stage_viable = true). It is not a standalone detector, not an LLM rep...",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,163,standalone detector,"3. **Positioning.** R4 is an offline, auditable, second-stage strong_action screening router (standalone_viable = false; second_stage_viable = true). It is not a standalone detector, not an LLM rep...",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,166,human-audited,**Safety framing:** All results are silver-label diagnostic only. Not gold. Not human-audited. Not SOTA. Not natural-distribution prevalence. Not a standalone classifier. Not automatic peer review....,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17.md,166,SOTA,**Safety framing:** All results are silver-label diagnostic only. Not gold. Not human-audited. Not SOTA. Not natural-distribution prevalence. Not a standalone classifier. Not automatic peer review....,safe_negation,Keep as-is (safe negation).
